Date,Open,High,Low,Close
11/01/2023,"27.00","27.27","26.71","26.89"
10/31/2023,"26.50","26.83","26.13","26.76"
10/30/2023,"25.70","26.97","25.70","26.48"
10/27/2023,"25.86","26.40","24.85","25.07"
10/26/2023,"26.44","26.50","25.36","25.77"
10/25/2023,"26.47","27.42","26.20","26.79"
10/24/2023,"26.76","27.05","25.55","26.16"
10/23/2023,"24.28","24.73","23.92","24.71"
10/20/2023,"23.00","23.83","22.96","23.64"
10/19/2023,"22.21","22.96","22.01","22.45"
10/18/2023,"22.26","22.58","21.92","22.21"
10/17/2023,"21.85","22.49","21.72","22.16"
10/16/2023,"22.50","23.51","21.34","21.80"
10/13/2023,"20.18","20.45","19.96","20.24"
10/12/2023,"20.08","20.20","19.84","20.02"
10/11/2023,"20.37","20.49","19.82","20.07"
10/10/2023,"20.45","20.82","20.36","20.58"
10/09/2023,"20.30","20.86","20.25","20.50"
10/06/2023,"20.02","20.84","20.01","20.73"
10/05/2023,"20.34","20.65","20.15","20.15"
10/04/2023,"19.85","20.25","19.54","20.14"
10/03/2023,"19.31","19.68","19.19","19.64"
10/02/2023,"20.00","20.24","19.34","19.45"
09/29/2023,"19.02","19.23","18.91","19.19"
09/28/2023,"18.26","19.21","18.20","19.00"
09/27/2023,"18.57","18.60","18.10","18.13"
09/26/2023,"18.35","18.37","18.04","18.17"
09/25/2023,"18.77","18.78","18.39","18.45"
09/22/2023,"19.05","19.10","18.85","18.90"
09/21/2023,"19.09","19.22","18.80","19.00"
09/20/2023,"19.88","19.90","19.29","19.42"
09/19/2023,"19.53","19.88","19.31","19.84"
09/18/2023,"19.77","19.91","19.22","19.23"
09/15/2023,"19.30","19.44","18.94","19.26"
09/14/2023,"19.60","19.79","19.38","19.46"
09/13/2023,"19.38","19.75","19.12","19.21"
09/12/2023,"19.37","19.58","19.10","19.26"
09/11/2023,"19.20","19.34","18.55","18.65"
09/08/2023,"19.24","19.51","19.20","19.30"
09/07/2023,"18.51","19.34","18.40","19.30"
09/06/2023,"18.56","18.98","18.25","18.60"
09/05/2023,"18.43","18.75","18.40","18.55"
09/01/2023,"18.55","18.69","18.17","18.48"
08/31/2023,"19.74","19.98","18.50","18.71"
08/30/2023,"20.23","20.40","19.55","19.71"
08/29/2023,"17.66","21.21","17.63","20.56"
08/28/2023,"17.45","17.75","17.43","17.58"
08/25/2023,"17.86","18.07","17.27","17.35"
08/24/2023,"18.07","18.12","17.50","17.68"
08/23/2023,"17.03","18.20","17.03","18.19"
08/22/2023,"17.21","17.39","17.00","17.00"
08/21/2023,"17.42","17.48","17.04","17.21"
08/18/2023,"17.79","18.11","17.00","17.40"
08/17/2023,"19.15","19.60","18.25","18.53"
08/16/2023,"19.65","19.76","19.26","19.46"
08/15/2023,"20.06","20.45","19.64","19.66"
08/14/2023,"19.82","20.44","19.75","20.12"
08/11/2023,"19.83","20.25","19.76","19.82"
08/10/2023,"19.80","20.24","19.75","19.80"
08/09/2023,"20.13","20.49","19.60","19.67"
08/08/2023,"19.44","20.24","19.20","20.09"
08/07/2023,"19.20","19.26","18.80","19.16"
08/04/2023,"19.19","19.58","19.12","19.22"
08/03/2023,"19.12","19.68","18.95","19.30"
08/02/2023,"19.07","19.25","18.62","19.16"
08/01/2023,"18.79","19.12","18.32","19.04"
07/31/2023,"18.86","19.17","18.78","19.13"
07/28/2023,"18.55","18.96","18.45","18.73"
07/27/2023,"19.33","19.42","18.35","18.39"
07/26/2023,"19.20","19.40","19.12","19.26"
07/25/2023,"19.15","19.42","19.10","19.17"
07/24/2023,"19.41","19.55","18.75","19.20"
07/21/2023,"19.64","19.98","19.60","19.88"
07/20/2023,"20.25","20.35","19.48","19.59"
07/19/2023,"19.83","20.25","19.82","20.08"
07/18/2023,"19.87","20.30","10.88","19.71"
07/17/2023,"19.86","20.54","19.70","19.92"
07/14/2023,"21.13","21.46","19.41","19.75"
07/13/2023,"19.84","21.88","19.84","21.38"
07/12/2023,"20.00","20.36","19.62","19.70"
07/11/2023,"19.89","20.28","19.81","19.93"
07/10/2023,"19.80","20.03","19.67","19.99"
07/07/2023,"19.92","20.42","19.78","19.81"
07/06/2023,"20.25","20.33","19.26","20.08"
07/05/2023,"20.20","20.47","19.90","20.14"
07/03/2023,"19.30","20.85","19.23","20.45"
06/30/2023,"19.86","19.96","17.80","19.19"
06/29/2023,"19.00","19.60","19.00","19.55"
06/28/2023,"19.15","19.48","18.50","18.61"
06/27/2023,"18.47","19.55","18.38","19.47"
06/26/2023,"18.99","19.58","17.83","18.18"
06/23/2023,"18.05","19.54","17.70","19.19"
06/22/2023,"18.01","18.59","17.51","18.00"
06/21/2023,"17.55","18.64","17.52","17.72"
06/20/2023,"15.30","17.73","15.27","16.85"
06/16/2023,"13.69","16.10","13.45","15.12"
06/15/2023,"13.04","13.45","12.86","13.40"
06/14/2023,"13.05","13.45","13.03","13.26"
06/13/2023,"13.15","13.33","13.03","13.11"
